"Semester
",Course Code,Course Name,L,T,P,"Credits
",Name of the Instructor,Lecture,Tutorial,Lab,No of students,Pre-requisite,Branch,Year,tags
Odd,CE 401,Comprehensive Project - I,0,0,3,4,Manish Kumar,,,L1+J1 (7/208),28,,CE,4,"Manish Kumar,CE"
Odd,CS 302,Theory of Computation,3,1,0,4,Bireswar Das,E (7/102),D3 (7/102),,44,"Mathematical Maturity, Good Programming Skills",CS,3,"Bireswar Das,CS"
Odd,CS 301,Operating Systems,3,0,2,5,Nipun Batra,F (7/102),,D1+G1 (7/109),46,ES 203 Digital Systems,CS,3,"Nipun Batra,CS"
Odd,ES 331,Probability and Random Processes,3,1,0,4,Shanmuganathan Raman,#REF!,#REF!,,44,,"CS,EE",3,"Shanmuganathan Raman,ES"
Odd,EE 332,Power Systems,3,1,0,4,Ragavan K,D (7/103),G2 (7/103),,41,,EE,3,"Ragavan K,EE"
Odd,EE 321,Analog Circuits,3,1,3,5,"Nihar Mohapatra (I+T), Uttama Lahiri (L), Himanshu Shekhar (L+T)",E (7/103),G3 (7/103),J2+L2,41,EE221 Electronic Devices,EE,3,"Nihar Mohapatra,EE"
Odd,EE 311,Electromagnetic Waves,3,1,0,4,Ravi Hegde,F (7/103),G1 (7/103),,30,,EE,3,"Ravi Hegde,EE"
Odd,EE 411,Digital Signal Processing,3,1,0,4,Nithin George,C (7/209),B1(7/209),,63,,EE,4,"Nithin George,EE"
Odd,EE 431,Electrical Systems Lab,0,0,4,2,S Rajendran,,,T1+K2+M2+N2 (1PM to 5PM),34,,EE,4,"S Rajendran,EE"
Odd,ES 311,Heat and Mass Transfer,3,1,0,4,#REF!,#REF!,#REF!,,63,,"ME,CL",3,"#REF!,ES"
Odd,ME 321,Mechanics of Deformable Bodies,3,1,0,4,Ravi Ayyagari,C (7/107),B1 (7/107),,37,,ME,3,"Ravi Ayyagari,ME"
Odd,ME 331,Manufacturing Processes and Systems,3,1,0,4,N. Ramakrishnan,F (7/107),G2 (7/107),,34,,ME,3,"N. Ramakrishnan,ME"
Odd,ME 351,Mechanical Engineering Laboratory I,0,0,4,2,Vinod Narayanan,Ravi Ayyagari,Atul Bhargav,,33,K2+M2+N2+P2 (7/209 2PM to 6PM),ME,3,"Vinod Narayanan,ME"
Odd,ME 492,Integrated Design and Manufacturing II,0,1,4,2,N. Ramakrishnan,,D2 (7/209),"D1+G1, D3+G3 (7/209)",30,,ME,4,"N. Ramakrishnan,ME"
Odd,MSE 303,Mechanical Behaviour of Materials,3,0,2,5,Pradipta Ghosh(I+L) and Amit Arora (L),"D2, D3 (7/106), R1 (7/201)",,J1+L1,23,,MSE,3,"Pradipta Ghosh,Amit Arora,MSE"
Odd,MSE 304,Principles of Metal Extraction and Refining,3,0,0,4,SP Mehrotra,C (7/106),,,25,,MSE,3,"SP Mehrotra,MSE"
Odd,MSE 305,Advanced Materials,3,0,0,4,Superb Misra,F (7/106),,,25,,MSE,3,"Superb Misra,MSE"
Odd,MSE 310,Physics of Materials,3,1,0,4,Emila Panda,E (7/106),T3 (7/106),,26,,MSE,3,"Emila Panda,MSE"
Both,CG 504,Research Methods in Cognitive Science,2,0,2,4,Pratik Mutha,"K1, M1 (7/102)",,K2+M2 (7/102),18,,ELE,,"Pratik Mutha,CG"
Both,CG 505,Fundamental Neuroscience,3,0,0,4,Leslee Lazar,E (7/202),,,54,,ELE,,"Leslee Lazar,CG"
Both,CG 606,Philosophy of Mind,3,0,0,4,Jaison Manjaly,F (7/207),,,35,,ELE,,"Jaison Manjaly,CG"
Both,CG 503,Fundamentals of Cognitive Psychology,3,0,0,4,Meera Sunny,C (7/201),,,16,,ELE,,"Meera Sunny,CG"
Both,CG 605,Learning and Memory,3,0,0,4,Leslee Lazar,D (7/104),,,12,,ELE,,"Leslee Lazar,CG"
Both,CG 501,Computation and Cognition,3,0,0,4,Krishna Miyapuram,D (7/206),,,17,,ELE,,"Krishna Miyapuram,CG"
Both,CG 607,Emotion and Cognition,3,0,0,4,Meera Sunny,L (7/104),,,11,,ELE,,"Meera Sunny,CG"
Both,CE 607,Adv. Structural Analysis,3,0,0,4,Manish Kumar,K (7/104),,,11,,ELE,,"Manish Kumar,CE"
Both,ES 621,Adv Solid Mechanics,3,0,0,4,Ashwini Kumar,F (7/105),,,24,,ELE,,"Ashwini Kumar,ES"
Both,CE 611,Adv. Engineering Hydrology,3,0,0,4,Vimal Mishra,L (7/105),,,18,,ELE,,"Vimal Mishra,CE"
Both,CE 625,Adv Hydraulic Engineering,3,0,0,4,Pranab Mohapatra,K (7/106),,,17,,ELE,,"Pranab Mohapatra,CE"
Both,CE 601,Adv Geotechnical Engineering,3,0,3,5,Ajanta Sachan,M (7/107),,J2+L2,8,,ELE,,"Ajanta Sachan,CE"
Both,CE 633,Water Resource Systems: Planning and Management,3,1,0,4,Udit Bhatia,"M2+N2, M3 (7/104)",E3+F3 (7/104),,23,,ELE,,"Udit Bhatia,CE"
Both,ES 635,Water Quality Engineering,3,0,0,4,Manish Singh,J (7/105),,,18,,ELE,,"Manish Singh,ES"
Both,MSE 622,Advance Metal Forming Technology,3,0,0,4,Jyoti Mukhopadhyay,J (7/201),,,17,,ELE,,"Jyoti Mukhopadhyay,MSE"
Both,MSE 603,Thin Film Processing and characterization,3,0,0,4,Emila Panda,"I2+J1 (7/101), G3+I3 (7/107)",,,11,,ELE,,"Emila Panda,MSE"
Both,MSE 403,Science and Technology of Welding and Joining,3,0,0,4,Amit Arora,N (7/110),,,6,,ELE,,"Amit Arora,MSE"
Both,MSE 629,Structure and Defects of Materials,3,0,0,4,Abhijit Misra,M (7/207),,,24,,ELE,,"Abhijit Misra,MSE"
Both,MSE 631,Thermodynamics of Materials,3,0,0,4,Abhay Gautam,I1+K1 (7/206) N2+P2 (7/207),,,14,,ELE,,"Abhay Gautam,MSE"
Both,MSE 632,Characterization of Materials,3,0,2,4,Superb Misra,"P2, R3 (7/207)",,K2+M2,29,,ELE,,"Superb Misra,MSE"
Both,CE 404,Transportation Engineering,3,0,0,4,Amit Goel/Pranab Mohapatra,,,,18,,ELE,,"Amit Goel,Pranab Mohapatra,CE"
Both,CL 601,Advance Transport Phenomena,3,1,0,4,Pratyush Dayal (I+T)Vandana Rajput (T),E (7/110),K3 (7/101),,17,,ELE,,"Pratyush Dayal,Vandana Rajput,CL"
Both,CL 627,Particulate Solids: Processing & Surface Engineering,3,0,0,4,Chinmay Ghoroi,F (7/110),,,4,,ELE,,"Chinmay Ghoroi,CL"
Both,ES 617,Design of Experiments,3,0,0,4,Nitin Padhiyar,G (7/105),,,38,,ELE,,"Nitin Padhiyar,ES"
Both,CL 605,Colloidal Domain: Where Science meets Engineering,3,0,0,4,Prachi Thareja,J (7/107),,,10,,ELE,,"Prachi Thareja,CL"
Both,BE 401,Methods in Biology,0,0,3,2,Sharad Gupta+GTF,,,J1+L1,13,UG level Molecular Biology & Biochemistry,ELE,,"Sharad Gupta+GTF,BE"
Both,BE 607,Molecular and Cellular Biotechnology,3,0,0,4,Sharad Gupta,K (7/103),,,18,UG level Molecular Biology & Biochemistry,ELE,,"Sharad Gupta,BE"
Both,BE 303,Bionanotechnology - Principles and Applications,3,0,0,4,Dhiraj Bhatia,C (7/104),,,27,,ELE,,"Dhiraj Bhatia,BE"
Both,PH 404,Molecular & Crystal Physics,3,0,0,4,Vijay Thiruvenkatam,H (7/105),,,5,,ELE,,"Vijay Thiruvenkatam,PH"
Both,PH 508,Classical Mechanics,3,1,0,4,Gopinadhan Kalon,C (7/105),B1 (7/105),,37,,ELE,,"Gopinadhan Kalon,PH"
Both,PH 503,Quantum Mechanics I,3,1,0,4,Prasanna V,D(7/105),K3 (7/105),,41,,ELE,,"Prasanna V,PH"
Both,PH 502,Mathematical Methods of Physics - I,3,1,0,4,Barath Coleppa,E (7/206),K2 (7/206),,38,,ELE,,"Barath Coleppa,PH"
Both,PH 510,Condensed Matter Physics,3,1,0,4,Rupak Banerjee,F (7/206),G1 (7/206),,31,,ELE,,"Rupak Banerjee,PH"
Both,PH 509,Computational Physics,2,0,2,4,Anand Sengupta,"A1, A2 (7/107)",,N3+R2 (7/109 Computerlab),29,,ELE,,"Anand Sengupta,PH"
Both,PH 608,Tools of Theoretical Physics,3,1,0,4,R R Puri,D (7/107),M3 (7/103),,20,,ELE,,"R R Puri,PH"
Both,PH 609,Introduction to Einstein’s Theory of General Relativity,3,1,0,4,Sudipta Sarkar,P (7/106),G2 (7/106),,12,,ELE,,"Sudipta Sarkar,PH"
Both,PH 612,Introduction to Quantum Field Theory,3,0,0,4,Vinod Chandra,C (7/207),,,9,,ELE,,"Vinod Chandra,PH"
Both,PH 605,Topics in Classical Mechanics and Electrodynamics,3,0,0,4,R R Puri,"L1, J2 (7/101)",,,9,,ELE,,"R R Puri,PH"
Both,EE 605,Digital Image Processing,3,0,0,4,Nitin Khanna,M (7/101),,,37,,ELE,,"Nitin Khanna,EE"
Both,EE 606,Applied Statistical Bioelectric Signal Analysis,3,1,0,4,Uttama Lahiri,"L1, E3+F3 (7/205)",G3 7/206,,6,,ELE,,"Uttama Lahiri,EE"
Both,ES 616,Digital Control Systems,3,1,0,4,S Rajendran,H (7/205),K3 (7/110),,21,,ELE,,"S Rajendran,ES"
Both,EE 617,VLSI Design,3,0,0,4,Joycee Mekie,"J1 (7/102), I3+T2(7/102)",,,17,,ELE,,"Joycee Mekie,EE"
Both,EE 618,Microelectronics Lab,0,0,4,2,"Joycee Mekie, Nihar Mohapatra",,,K2+M2+N2+P2 (7/108),16,,ELE,,"Joycee Mekie,Nihar Mohapatra,EE"
Both,EE 619,Special Electrical Machines,3,0,0,4,Ragavan,F (7/202),,,15,,ELE,,"Ragavan,EE"
Both,EE 629,Power Electronic Converters,3,1,0,4,S Rajendran,"N1, P2, N3 (7/104)",R3 (7/104),,13,,ELE,,"S Rajendran,EE"
Both,EE 639,Lasers,3,0,0,4,Arup,K (K/207),,,5,,ELE,,"Arup,EE"
Both,EE 644,Physics of Transistors,3,0,0,4,"Mohit Ganeriwala, Nihar Mohapatra",H (7/210),,,19,,ELE,,"Mohit Ganeriwala,Nihar Mohapatra,EE"
Both,ES 612,Artificial Intelligence,3,0,0,4,Uttama Lahiri,"B2,B3, P2 (7/202)",,,36,,ELE,,"Uttama Lahiri,ES"
Both,CH 503,Fundamentals of Analytical Chemistry,3,0,0,4,Sriram Kanvah,C (7/203),,,45,,ELE,,"Sriram Kanvah,CH"
Both,CH 506,Physical Organic Chemistry,3,0,0,4,Sudipta Basu,J (7/204),,,26,,ELE,,"Sudipta Basu,CH"
Both,CH 510,Main Group and Transition Metal Chemistry,3,0,0,4,Iti Gupta,G (7/208),,,66,,ELE,,"Iti Gupta,CH"
Both,CH 511,Quantum Chemistry,3,0,0,4,Sairam Mallajosyula,E (7/203),,,25,,ELE,,"Sairam Mallajosyula,CH"
Both,CH 513,Advanced Organic Chemistry,3,0,0,4,Sivapriya Kirubakaran,G (7/104),,,21,,ELE,,"Sivapriya Kirubakaran,CH"
Both,CH 624,Molecular Spectroscopy,3,0,0,4,Saumyakanti Khatua,K (7/204),,,29,Instructor Consent,ELE,,"Saumyakanti Khatua,CH"
Both,CH 615,Electrochemistry,3,0,0,4,Arnab Dutta,H (1/101),,,114,Instructor Consent,ELE,,"Arnab Dutta,CH"
Both,CH 627,Metabolism & Biosynthesis,3,0,0,4,Bhaskar Datta,F1+F2 (7/203) F3 (7/201),,,16,Instructor Consent,ELE,,"Bhaskar Datta,CH"
Both,CE 622,Structural Dynamics,3,0,0,4,Dhiman Basu,J (7/205),,,7,,ELE,,"Dhiman Basu,CE"
Both,CS 613,Natural Language Processing,3,0,0,4,Mayank Singh,P (1/101),,,68,"Basics of Probability and Statistics, ES 102/112",ELE,,"Mayank Singh,CS"
Both,CS 610,Algorithms,3,0,0,4,Anirban Dasgupta,"N1, N2 (7/102) C2(7/202)",,,18,"Data Structures, familiarity with undergraduate Algorithms ",ELE,,"Anirban Dasgupta,CS"
Both,CS 612,Computer Systems,3,0,0,4,"Anirban Dasgupta, Nipun Batra, Mayank Singh",J (7/104),,,11,"Undergraduate level Architecture/Organization, Operating Systems",ELE,,"Anirban Dasgupta,Nipun Batra,Mayank Singh,CS"
Both,MA 509,Topics in Real Analysis,3,1,0,4,"Akshaa Vatwani (I), Rahul Kumar (GTF)",K (7/207),R1 (7/207),,33,First year MSc Maths course,ELE,,"Akshaa Vatwani,MA"
Both,MA 504,Introduction to Linear Algebra,3,1,0,4,"Indranath Sengupta (I), V. D. Sharma (I)",Ayush Jaiswal (GTF),F (7/208),R2 (7/205),,52,First year MSc Maths course,ELE,"Indranath Sengupta,V. D. Sharma,MA"
Both,MA 507,Ordinary Differential Equations,3,1,0,4,"Jagmohan Tyagi (I), Dharmendra (GTF)",C (7/206),I3 (7/206),,33,First year MSc Maths course,ELE,,"Jagmohan Tyagi,MA"
Both,MA 606,Introduction to De Rham Cohomology,3,0,0,4,Arnab Saha (I),Priyank (TA),E (7/105),,,6,,ELE,"Arnab Saha,MA"
Both,MA 626,Functional Analysis,3,0,0,4,Mohan C. Joshi (I),Aditiben Savalia (TA),G (7/205),,,27,,ELE,"Mohan C. Joshi,MA"
Both,MA 627,Algebraic Topology,3,0,0,4,"Sanjay Amrutiya (I), Sudip Pandit (TA)",J (7/210),,,27,,ELE,,"Sanjay Amrutiya,MA"
Both,MA 6XX,Theory of Partitions,3,0,0,4,Atul Dixit,L,,,15,,ELE,,"Atul Dixit,MA"
Both,MA 630,Probability Theory,3,0,0,4,Chetan D. Pahlajani (I),Ekta Punia (TA),H (7/202),,,9,,ELE,"Chetan D. Pahlajani,MA"
Both,MA 628,Algebra II,3,0,0,4,Indranath Sengupta (I),Kamalesh Saha (TA),"K1+M1, K2+M2 (7/203)",,,11,,ELE,"Indranath Sengupta,MA"
Both,MA 692,Special topics in Mathematics: Financial Mathematics (second half of the semester),3,0,0,2,Paresh Date (I),Pranjal Shrivastava (TA),M (7/106),,,32,,ELE,"Paresh Date,MA"
Both,MA 601,Mathematical Methods in Engineering,3,0,0,4,Paresh Date (I),Shivajee (CA) and Om Prakash (TA),A (1/101),,,110,,ELE,"Paresh Date,MA"
Both,ES 607,Foundations of Fluid Dynamics,3,1,0,4,Vinod Narayanan,F (7/209),I3 (7/209),,18,UG Fluid Mechanics,ELE,,"Vinod Narayanan,ES"
Both,ME 605,Computational Fluid Dynamics,3,2,0,4,Sarma Rani (I) Dilip Sundaram (T),"H2,G2, H3  (7/110)",H1+G1 (7/108),,26,Undergraduate fluid mechanics,ELE,,"Sarma Rani,Dilip Sundaram,ME"
Both,ME 606,Combustion,3,0,0,4,Dilip Sundaram,C (7/210),,,12,UG level Thermodynamics and Fluid Mechanics,ELE,,"Dilip Sundaram,ME"
Both,ME 635,Compressible Flows,3,0,0,4,Uddipta Ghosh,E (7/207),,,7,UG Fluid Mechanics,ELE,,"Uddipta Ghosh,ME"
Both,ME 639,Introduction to Robotics,3,0,0,4,Vineet Vashista,"M1, I2, M3 (7/201)",,,18,Control Theory,ELE,,"Vineet Vashista,ME"
Both,ME 642,Energy Efficient Design of Separation Processes,3,1,0,4,Jaichander S.,M (7/204),R1(7/204),,9,UG Level Thermodynamics,ELE,,"Jaichander S.,ME"
Both,ES 646,Elastodynamics and Vibrations,3,0,0,4,Jayaprakash KR,K (7/205),,,6,UG level vibration theory,ELE,,"Jayaprakash KR,ES"
Both,ES 408,Mechatronics,3,0,0,4,Madhu Vadali,T2+K3 (7/203),,Monday 6,00PM to 8:00PM,26,,ELE,"Madhu Vadali,ES"
Both,HS 111,Urdu Script & Poetry,3,1,0,4,Mohd. Mubashshir Ahsan,"R1, R2 (7/208)",R3 (7/208),,36,,ELE,,"Mohd. Mubashshir Ahsan,HS"
Both,HS 112,Urdu Poetry Interpretation,3,1,0,4,Mohd. Mubashshir Ahsan,P (7/208),,,37,,ELE,,"Mohd. Mubashshir Ahsan,HS"
Both,HS 411,Economic Concepts and Issues in Project Analysis,3,0,0,2,A. Ramanathan,H  (7/103),,,28,,ELE,,"A. Ramanathan,HS"
Both,HS 103,French Studies,3,1,0,4,Ms. Tina Chaudouet,L (7/203),N1  (7/203),,45,,ELE,,"Ms. Tina Chaudouet,HS"
Both,HS 104,Foundational Sanskrit,3,1,0,4,Mana Shah,L (7/206),N1  (7/206),,39,,ELE,,"Mana Shah,HS"
Both,HS 512,Political Thought,3,0,0,4,Mona Mehta,J  (7/206),,,36,,ELE,,"Mona Mehta,HS"
Both,HS 647,"Literature, Theory and Social Context ",3,0,0,4,Angus McBlane,F1 (7/201) + F3+H3 (7/203),,,37,,ELE,,"Angus McBlane,HS"
Both,HS 510,Perspectives on Indian Civilization,3,0,0,4,Michel Danino,G (7/202),,,34,,ELE,,"Michel Danino,HS"
Both,HS 211,Exploring India's scientific and technological heritage,3,0,0,4,Michel Danino,J (7/209),,,57,,ELE,,"Michel Danino,HS"
Both,HS 505,Research Methods in Humanities and Social Sciences,3,0,0,4,Malavika S and Nishant Choksi,K (7/208),,,36,,ELE,,"Malavika S,Nishant Choksi,HS"
Both,HS 645,History of India 1930-1964,3,0,0,4,Madhumita S,L (7/202),,,10,,ELE,,"Madhumita S,HS"
Both,HS 301,Introduction to Sociology,3,0,0,4,Tannistha Samanta,H  (7/201),,,15,,ELE,,"Tannistha Samanta,HS"
Both,HS 313,When you cannot experiment: Social Science Methods,3,0,0,4,Malavika S,J  (7/110),,,38,,ELE,,"Malavika S,HS"
Both,IN 304,Ancient Indian Technologies,3,1,0,4,Alok Kanungo,R (7/110),,,40,,ELE,,"Alok Kanungo,IN"
Both,MS 409,"Managerial Economics Concepts, Applications & Cases",3,1,0,4,A. Ramanathan,L (7/102),N2  (7/107),,31,,ELE,,"A. Ramanathan,MS"
Both,HS 518,"Philosophy, Cognition and Psychoanalysis",3,0,0,4,Arka Chattopadhyay,K (7/202),,,16,,ELE,,"Arka Chattopadhyay,HS"
Both,HS 638,"Disease, Health & Inequality",3,0,0,4,Tannistha Samanta,L (7/204),,,15,,ELE,,"Tannistha Samanta,HS"
Both,HS 514,Sociology of Tourism,3,0,0,4,Ambika Aiyadurai,H  (7/102),,,30,,ELE,,"Ambika Aiyadurai,HS"
Both,FP 602,Writing (for MTech and MA students ),1,0,4,4,"Angus McBlane (I) Sharada C (L), Mona Mehta (L), Himanshu Shekhar (L), Bhaskar Datta (L)",P1 (1/102),,"
L1+R1 (Tuesday 4PM to 6PM) 
N3+R2 (Thursday 4PM to 6PM)

(7/210, 7/107, 7/103, 1/003)
",198,,ELE,,"Angus McBlane,Sharada C,FP"
Both,EH 601,Earth Surface Processes in the Anthropocene,2,0,2,4,Vikrant Jain/Ajit Singh,"F1, F2 (7/204)",,F3+H3 (7/204),9,,ELE,,"Vikrant Jain,Ajit Singh,EH"
Both,EH 302,Elements of Earth System Science,3,0,0,4,R N Singh,M (7/205),,,16,,ELE,,"R N Singh,EH"
Both,EH 610,Engineering Seismology and Seismic Hazard Analysis,3,0,0,4,Sanjay Singh Bora,E (7/201),,,14,,ELE,,"Sanjay Singh Bora,EH"
Both,EH 609,Environmental Geochemistry and Modelling,3,0,0,4,Manish Kumar Singh,G (7/102),,,9,,ELE,,"Manish Kumar Singh,EH"
Both,MS 408,Financial Considerations in Engineering Decisions (Second half of semester),3,0,0,2,Chelva Kumar,L (7/201),,,40,,ELE,,"Chelva Kumar,MS"
Both,MS 410,Medical Products Industry: Quality and Regulations (Second half of semester),3,0,0,2,Latha Chelvakumar,J (7/106),,,17,,ELE,,"Latha Chelvakumar,MS"
Both,CE 627,Slopes and retaining structures,3,0,0,2,Sarvesh Chandra,N2+P2 (7/101),,,11,,ELE,,"Sarvesh Chandra,CE"
Both,ES 626,Microfabrication and Semiconductor Processes,3,0,0,4,Nihar Mohapatra,"K3, M3, R3 (7/206)",,,31,,ELE,,"Nihar Mohapatra,ES"
